%freq	 restricted cosi ULs
416.5	 5.35421134267264e-25
417.5	 5.421161540138453e-25
418.5	 5.360551672444208e-25
419.5	 5.306978951731279e-25
420.5	 5.372434138894132e-25
421.5	 5.382390311781121e-25
422.5	 5.403486820818055e-25
423.5	 5.413025849519547e-25
424.5	 5.410842058847221e-25
425.5	 5.413027371241261e-25
426.5	 5.418971945496347e-25
427.5	 5.440545811528494e-25
428.5	 5.479547623180106e-25
429.5	 5.45007680666112e-25
430.5	 5.469009497260889e-25
431.5	 5.48127488334218e-25
432.5	 5.498408511971048e-25
433.5	 5.525517544288119e-25
434.5	 5.55223466229942e-25
436.5	 5.591792672345206e-25
437.5	 5.612865139298585e-25
438.5	 5.638170436691682e-25
441.5	 5.693352850415622e-25
442.5	 5.720276965666201e-25
443.5	 5.7513673958653985e-25
447.5	 5.796846037324484e-25
448.5	 5.782138182898037e-25
449.5	 5.753136651045583e-25
450.5	 5.794692314170152e-25
452.5	 5.840793517654077e-25
453.5	 5.820192751702579e-25
459.5	 5.810792528888356e-25
461.5	 5.827546905999739e-25
463.5	 5.85541564042028e-25
477.5	 5.945577668160562e-25
480.5	 5.991556029891179e-25
481.5	 6.003683127979125e-25
482.5	 5.994787337948598e-25
499.5	 6.638495325186834e-25
500.5	 6.443181436226988e-25
501.5	 6.548016965964835e-25
506.5	 6.801598446227291e-25
507.5	 7.8561381836398045e-25
510.5	 9.01876561168419e-25
515.5	 6.592372405292126e-25
516.5	 6.378686451137743e-25
517.5	 6.30727369386302e-25
522.5	 6.403628476064572e-25
523.5	 6.406168010364098e-25
525.5	 6.399072567895616e-25
533.5	 6.466114133382117e-25
534.5	 6.483643154327176e-25
535.5	 6.494401677479588e-25
536.5	 6.502556635708377e-25
537.5	 6.519647978391089e-25
538.5	 6.536765076187738e-25
539.5	 6.590728310418264e-25
540.5	 6.567115081294151e-25
546.5	 6.634392712995214e-25
547.5	 6.650009535455861e-25
549.5	 6.708728040675604e-25
550.5	 6.81305027609817e-25
551.5	 6.792947551180721e-25
552.5	 6.887871360832701e-25
553.5	 7.061246752146772e-25
554.5	 6.862779102784974e-25
555.5	 6.807937844657457e-25
556.5	 6.831352383100044e-25
557.5	 6.898954374443563e-25
559.5	 6.996699156300008e-25
561.5	 7.023877938247821e-25
562.5	 7.017533437571939e-25
563.5	 7.090212339182848e-25
565.5	 7.06666591771749e-25
566.5	 7.0876626589599335e-25
567.5	 7.137891627078964e-25
568.5	 7.194345427144867e-25
569.5	 7.2475410434715e-25
570.5	 7.307005875455712e-25
571.5	 7.335475905902011e-25
572.5	 7.350917123807655e-25
573.5	 7.344333096320036e-25
574.5	 7.318161044124531e-25
576.5	 7.264234634030556e-25
577.5	 7.233426073652665e-25
578.5	 7.208549919610781e-25
579.5	 7.202025206785532e-25
580.5	 7.214325365104191e-25
581.5	 7.265004454286083e-25
582.5	 7.320607174068683e-25
583.5	 7.368019715536753e-25
584.5	 7.417015810536035e-25
585.5	 7.436019690907966e-25
586.5	 7.434445630842093e-25
587.5	 7.423211000761556e-25
588.5	 7.41146219565242e-25
589.5	 7.383018955736788e-25
590.5	 7.354903959572482e-25
591.5	 7.326887003531087e-25
592.5	 7.311262429626209e-25
593.5	 7.290505219438621e-25
594.5	 7.2776960095122245e-25
595.5	 7.265477783869981e-25
596.5	 7.262249390437453e-25
597.5	 7.264542781252282e-25
598.5	 7.40850769932431e-25
599.5	 7.35432482772768e-25
600.5	 7.2647659462973165e-25
